food_key,L1_humans,L1_humans_query,L1_nutrition,L1_nutrition_query
acerola,50,acerola[tiab] AND humans[mh],144,"acerola[tiab] AND ""diet, food, and nutrition""[mh]"
adzuki bean,59,"(""adzuki bean""[tiab] OR ""azuki bean""[tiab] OR ""Vigna angularis""[tiab]) AND humans[mh]",153,"(""adzuki bean""[tiab] OR ""azuki bean""[tiab] OR ""Vigna angularis""[tiab]) AND ""diet, food, and nutrition""[mh]"
agar,27437,agar[tiab] AND humans[mh],4975,"agar[tiab] AND ""diet, food, and nutrition""[mh]"
almond,987,almond[tiab] AND humans[mh],1237,"almond[tiab] AND ""diet, food, and nutrition""[mh]"
amaranth,331,amaranth[tiab] AND humans[mh],718,"amaranth[tiab] AND ""diet, food, and nutrition""[mh]"
amazake,8,"(amazake[tiab] OR ""fermented rice drink""[tiab]) AND humans[mh]",11,"(amazake[tiab] OR ""fermented rice drink""[tiab]) AND ""diet, food, and nutrition""[mh]"
apple,6299,apple[tiab] AND humans[mh],7087,"apple[tiab] AND ""diet, food, and nutrition""[mh]"
apricot,341,apricot[tiab] AND humans[mh],557,"apricot[tiab] AND ""diet, food, and nutrition""[mh]"
arame,3,arame[tiab] AND humans[mh],3,"arame[tiab] AND ""diet, food, and nutrition""[mh]"
asari clam,1,"""asari clam""[tiab] AND humans[mh]",1,"""asari clam""[tiab] AND ""diet, food, and nutrition""[mh]"
asparagus,368,asparagus[tiab] AND humans[mh],347,"asparagus[tiab] AND ""diet, food, and nutrition""[mh]"
atsuage,9,"(atsuage[tiab] OR ""deep-fried tofu""[tiab] OR ""fried bean curd""[tiab]) AND humans[mh]",10,"(atsuage[tiab] OR ""deep-fried tofu""[tiab] OR ""fried bean curd""[tiab]) AND ""diet, food, and nutrition""[mh]"
bamboo shoot,41,"""bamboo shoot""[tiab] AND humans[mh]",73,"""bamboo shoot""[tiab] AND ""diet, food, and nutrition""[mh]"
banana,1590,banana[tiab] AND humans[mh],2023,"banana[tiab] AND ""diet, food, and nutrition""[mh]"
barley,1939,barley[tiab] AND humans[mh],7390,"barley[tiab] AND ""diet, food, and nutrition""[mh]"
bean sprouts,66,"""bean sprouts""[tiab] AND humans[mh]",110,"""bean sprouts""[tiab] AND ""diet, food, and nutrition""[mh]"
beef,6083,beef[tiab] AND humans[mh],15463,"beef[tiab] AND ""diet, food, and nutrition""[mh]"
beer,5183,beer[tiab] AND humans[mh],5246,"beer[tiab] AND ""diet, food, and nutrition""[mh]"
beet sugar,25,"""beet sugar""[tiab] AND humans[mh]",45,"""beet sugar""[tiab] AND ""diet, food, and nutrition""[mh]"
bell pepper,84,"""bell pepper""[tiab] AND humans[mh]",192,"""bell pepper""[tiab] AND ""diet, food, and nutrition""[mh]"
bitter melon,176,"""bitter melon""[tiab] AND humans[mh]",159,"""bitter melon""[tiab] AND ""diet, food, and nutrition""[mh]"
black sesame,20,"""black sesame""[tiab] AND humans[mh]",32,"""black sesame""[tiab] AND ""diet, food, and nutrition""[mh]"
black soybean,469,"(""black soybean""[tiab] OR ""black soybeans""[tiab] OR ""Glycine max""[tiab]) AND humans[mh]",1961,"(""black soybean""[tiab] OR ""black soybeans""[tiab] OR ""Glycine max""[tiab]) AND ""diet, food, and nutrition""[mh]"
black soybean tea,0,"""black soybean tea""[tiab] AND humans[mh]",0,"""black soybean tea""[tiab] AND ""diet, food, and nutrition""[mh]"
black tea,1868,"(""black tea""[tiab] OR ""Camellia sinensis""[tiab]) AND humans[mh]",3569,"(""black tea""[tiab] OR ""Camellia sinensis""[tiab]) AND ""diet, food, and nutrition""[mh]"
bok choy,18,"""bok choy""[tiab] AND humans[mh]",33,"""bok choy""[tiab] AND ""diet, food, and nutrition""[mh]"
bonito,86,bonito[tiab] AND humans[mh],96,"bonito[tiab] AND ""diet, food, and nutrition""[mh]"
broccoli,1244,broccoli[tiab] AND humans[mh],1224,"broccoli[tiab] AND ""diet, food, and nutrition""[mh]"
brown rice,455,"(""brown rice""[tiab] OR ""whole grain rice""[tiab]) AND humans[mh]",771,"(""brown rice""[tiab] OR ""whole grain rice""[tiab]) AND ""diet, food, and nutrition""[mh]"
brown sugar,52,"(""brown sugar""[tiab] OR ""unrefined sugar""[tiab]) AND humans[mh]",74,"(""brown sugar""[tiab] OR ""unrefined sugar""[tiab]) AND ""diet, food, and nutrition""[mh]"
buckwheat,533,buckwheat[tiab] AND humans[mh],1074,"buckwheat[tiab] AND ""diet, food, and nutrition""[mh]"
burdock,80,burdock[tiab] AND humans[mh],66,"burdock[tiab] AND ""diet, food, and nutrition""[mh]"
cabbage,1185,cabbage[tiab] AND humans[mh],2193,"cabbage[tiab] AND ""diet, food, and nutrition""[mh]"
carrot,1289,carrot[tiab] AND humans[mh],1753,"carrot[tiab] AND ""diet, food, and nutrition""[mh]"
celery,546,celery[tiab] AND humans[mh],638,"celery[tiab] AND ""diet, food, and nutrition""[mh]"
cheese,5143,cheese[tiab] AND humans[mh],10497,"cheese[tiab] AND ""diet, food, and nutrition""[mh]"
cherry,1918,cherry[tiab] AND humans[mh],1859,"cherry[tiab] AND ""diet, food, and nutrition""[mh]"
chestnut,594,chestnut[tiab] AND humans[mh],744,"chestnut[tiab] AND ""diet, food, and nutrition""[mh]"
chicken,19480,chicken[tiab] AND humans[mh],15656,"chicken[tiab] AND ""diet, food, and nutrition""[mh]"
chickpea,365,chickpea[tiab] AND humans[mh],973,"chickpea[tiab] AND ""diet, food, and nutrition""[mh]"
chili pepper,425,"(""chili pepper""[tiab] OR ""hot pepper""[tiab] OR ""red pepper""[tiab]) AND humans[mh]",578,"(""chili pepper""[tiab] OR ""hot pepper""[tiab] OR ""red pepper""[tiab]) AND ""diet, food, and nutrition""[mh]"
chinese cabbage,164,"(""chinese cabbage""[tiab] OR ""napa cabbage""[tiab]) AND humans[mh]",387,"(""chinese cabbage""[tiab] OR ""napa cabbage""[tiab]) AND ""diet, food, and nutrition""[mh]"
cinnamon,1113,cinnamon[tiab] AND humans[mh],933,"cinnamon[tiab] AND ""diet, food, and nutrition""[mh]"
cocoa,1659,cocoa[tiab] AND humans[mh],2082,"cocoa[tiab] AND ""diet, food, and nutrition""[mh]"
coffee,11831,coffee[tiab] AND humans[mh],11928,"coffee[tiab] AND ""diet, food, and nutrition""[mh]"
corn,5393,corn[tiab] AND humans[mh],19873,"corn[tiab] AND ""diet, food, and nutrition""[mh]"
crab,2430,crab[tiab] AND humans[mh],1132,"crab[tiab] AND ""diet, food, and nutrition""[mh]"
cucumber,973,cucumber[tiab] AND humans[mh],1849,"cucumber[tiab] AND ""diet, food, and nutrition""[mh]"
curry powder,58,"""curry powder""[tiab] AND humans[mh]",43,"""curry powder""[tiab] AND ""diet, food, and nutrition""[mh]"
daikon,42,"(daikon[tiab] OR ""Japanese radish""[tiab] OR ""white radish""[tiab]) AND humans[mh]",82,"(daikon[tiab] OR ""Japanese radish""[tiab] OR ""white radish""[tiab]) AND ""diet, food, and nutrition""[mh]"
dried daikon,0,"""dried daikon""[tiab] AND humans[mh]",0,"""dried daikon""[tiab] AND ""diet, food, and nutrition""[mh]"
dried persimmon,4,"""dried persimmon""[tiab] AND humans[mh]",11,"""dried persimmon""[tiab] AND ""diet, food, and nutrition""[mh]"
