source_id,food_en,food_ja,direction,verdict,note
basefood,chicken,鶏肉,warm,supported,
basefood,chili pepper,唐辛子,warm,supported,
basefood,cocoa,ココア,warm,supported,
basefood,vegetables,野菜,warm,wrong-food,冬が旬の野菜であって野菜全部ではない
esse,banana,バナナ,cool,supported,
esse,carrot,ニンジン,warm,supported,
esse,kiwi,キウイ,cool,supported,
esse,leafy greens,葉野菜,cool,supported,
esse,octopus,タコ,warm,supported,
esse,soy sauce,しょうゆ,warm,supported,
esse,udon,うどん,cool,supported,
jsfca,barley,大麦,warm,supported,
jsfca,meat dish,肉料理,warm,supported,
jsfca,mozuku seaweed,もずく,cool,supported,
jsfca,oatmeal,オートミール,cool,supported,
jsfca,pumpkin,かぼちゃ,warm,supported,
jsfca,seaweed,海藻,cool,supported,
jsfca,sweet potato,さつまいも,warm,supported,
kawashimaya,atsuage,厚揚げ,warm,supported,
kawashimaya,chicken,鶏肉,warm,supported,
kawashimaya,fermented foods,発酵食品,warm,supported,
kawashimaya,lotus root,れんこん,warm,supported,
kawashimaya,miso,味噌,warm,supported,
kawashimaya,pineapple,パイナップル,cool,supported,
kawashimaya,pork miso soup,豚汁,warm,supported,
kawashimaya,root vegetables and other winter vegetables,根菜類などの冬野菜,warm,supported,
kawashimaya,salmon,鮭,warm,supported,
kawashimaya,soy sauce,醤油,warm,supported,
macaroni,beer,ビール,cool,supported,
macaroni,chili pepper,唐辛子,warm,supported,
macaroni,mango,マンゴー,cool,supported,
oitr,aromatic vegetables and flavorings,薬味・香味野菜,warm,supported,
oitr,cold-region fruits and nuts,寒冷地の果物・ナッツ,warm,supported,
oitr,daikon,大根,warm,supported,
oitr,fermented foods,発酵食品,warm,supported,
oitr,green onion,ねぎ,warm,supported,
oitr,kiwi,キウイ,cool,supported,
oitr,mango,マンゴー,cool,supported,
oitr,oily/blue-backed fish,青魚,warm,supported,
oitr,pineapple,パイナップル,cool,supported,
oitr,pumpkin,かぼちゃ,warm,supported,
prezo,carrot,にんじん,warm,supported,
prezo,dried goods,乾物,warm,supported,
prezo,flaxseed oil,あまに油,warm,supported,
prezo,grape,ぶどう,warm,supported,
prezo,horse mackerel,あじ,warm,supported,
prezo,kimchi,キムチ,warm,supported,
prezo,pineapple,パイナップル,cool,supported,
prezo,red-fleshed fish,赤身魚,warm,supported,
prezo,root vegetables,根菜類,warm,supported,
prezo,soybean,大豆,neutral,supported,
yomeishu,barley,大麦,cool,supported,
yomeishu,bitter melon,ゴーヤ,cool,supported,
yomeishu,eggplant,なす,cool,supported,
yomeishu,konjac,こんにゃく,cool,supported,
yomeishu,meat,肉,warm,supported,
yomeishu,oyster sauce,オイスターソース,cool,supported,
yomeishu,persimmon,柿,cool,supported,
yomeishu,spinach,ほうれん草,cool,supported,
yomeishu,tomato,トマト,cool,supported,
