source_id,url,food_en,food_ja,direction,quote
basefood,https://basefood.co.jp/magazine/column/46436/,chicken,鶏肉,warm,たんぱく質は熱産生を支える中心的な栄養素であり、温活を支える土台となります
basefood,https://basefood.co.jp/magazine/column/46436/,chili pepper,唐辛子,warm,発汗や一時的な体温上昇を促し
basefood,https://basefood.co.jp/magazine/column/46436/,cocoa,ココア,warm,飲み物の選び方も、温活を進めるうえで大切なポイントです。温活向きの飲み物には、ほうじ茶や紅茶、ウーロン茶、ココア、生姜湯などがあります。
basefood,https://basefood.co.jp/magazine/column/46436/,vegetables,野菜,warm,冬が旬の野菜は体を温める効果が期待できるものが多いため
esse,https://esse-online.jp/articles/-/27271,banana,バナナ,cool,果物：バナナ、パイナップル、マンゴー、キウイ、メロン、グレープフルーツ
esse,https://esse-online.jp/articles/-/27271,carrot,ニンジン,warm,ニンジン
esse,https://esse-online.jp/articles/-/27271,kiwi,キウイ,cool,果物：バナナ、パイナップル、マンゴー、キウイ、メロン、グレープフルーツ
esse,https://esse-online.jp/articles/-/27271,leafy greens,葉野菜,cool,葉野菜
esse,https://esse-online.jp/articles/-/27271,octopus,タコ,warm,タコ
esse,https://esse-online.jp/articles/-/27271,soy sauce,しょうゆ,warm,しょうゆ
esse,https://esse-online.jp/articles/-/27271,udon,うどん,cool,うどん
jsfca,https://www.asc-jp.com/diet/macrobiotic/macrobiotic-column09/,barley,大麦,warm,穀物では、玄米や大麦が陽性食材としておすすめです。
jsfca,https://www.asc-jp.com/diet/macrobiotic/macrobiotic-column09/,meat dish,肉料理,warm,温かい陽性の肉料理には、冷たい陰性のサラダを添えると良いでしょう。
jsfca,https://www.asc-jp.com/diet/macrobiotic/macrobiotic-column09/,mozuku seaweed,もずく,cool,わかめやもずくは、味噌汁やサラダに加えることで栄養を摂取できます
jsfca,https://www.asc-jp.com/diet/macrobiotic/macrobiotic-column09/,oatmeal,オートミール,cool,また、穀物では、白米やオートミールが陰性で、これらを主食にすることでバランスを保てます。
jsfca,https://www.asc-jp.com/diet/macrobiotic/macrobiotic-column09/,pumpkin,かぼちゃ,warm,さつまいもやかぼちゃやナッツ類を取り入れ、体を温める食材を意識的に選ぶと良いでしょう。
jsfca,https://www.asc-jp.com/diet/macrobiotic/macrobiotic-column09/,seaweed,海藻,cool,海藻は陰性です。
jsfca,https://www.asc-jp.com/diet/macrobiotic/macrobiotic-column09/,sweet potato,さつまいも,warm,さつまいもやかぼちゃやナッツ類を取り入れ、体を温める食材を意識的に選ぶと良いでしょう
kawashimaya,https://kawashima-ya.jp/contents/?p=123030,atsuage,厚揚げ,warm,鶏肉／牛肉／豚肉／羊肉／鮭／サバ／アジ／イワシ／マグロ／卵／豆腐／厚揚げ
