source_id,food_ja,direction,quote
basefood,根菜,warm,
basefood,スパイス,warm,
basefood,根菜類,warm,
basefood,ニンジン,warm,
basefood,カボチャ,warm,
basefood,ゴボウ,warm,
basefood,れんこん,warm,
basefood,ジャガイモ,warm,
basefood,サトイモ,warm,
basefood,冬が旬の野菜,warm,
basefood,発酵食品,warm,
basefood,味噌,warm,
basefood,納豆,warm,
basefood,キムチ,warm,
basefood,生姜,warm,
basefood,ねぎ,warm,
basefood,肉類,warm,
basefood,牛肉,warm,
basefood,鶏肉,warm,
basefood,豚肉など,warm,
basefood,魚類,warm,
basefood,鮭,warm,
basefood,マグロ,warm,
basefood,カツオなど,warm,
basefood,卵,warm,
basefood,大豆製品,warm,
basefood,ゆで卵,warm,
basefood,納豆,warm,
basefood,冷奴,warm,
basefood,生姜,warm,
basefood,唐辛子,warm,
basefood,シナモン,warm,
basefood,ニンニク,warm,
basefood,ネギ,warm,
basefood,豚肉,warm,
basefood,ニンニク,warm,
basefood,ニンジン,warm,
basefood,カボチャ,warm,
basefood,スパイス,warm,
basefood,薬味,warm,
basefood,リンゴ,warm,
basefood,ブドウ,warm,
basefood,プルーン,warm,
basefood,冬が旬のもの,warm,
basefood,ドライフルーツ,warm,
basefood,バナナ,cool,
basefood,マンゴー,cool,
basefood,パイナップル,cool,
basefood,南国系フルーツ,cool,
basefood,ほうじ茶,warm,
basefood,紅茶,warm,
basefood,ウーロン茶,warm,
basefood,ココア,warm,
basefood,生姜湯,warm,
basefood,発酵茶,warm,
basefood,コーヒー,cool,
basefood,緑茶,cool,
basefood,麦茶,cool,
basefood,白砂糖,cool,
basefood,精製された白い食品,cool,
basefood,氷入りの飲み物,cool,
basefood,豚汁,warm,
basefood,おでん,warm,
basefood,おにぎりは鮭を具として使っているもの,warm,
basefood,玄米のおにぎり,warm,
basefood,生姜湯,warm,
basefood,ホットココア,warm,
basefood,白湯,warm,
basefood,味噌汁,warm,
basefood,スパイスの効いた料理,warm,
basefood,発酵食品,warm,
basefood,味噌,warm,
basefood,生姜,warm,
basefood,唐辛子,warm,
basefood,香辛料,warm,
basefood,冷やしうどん,cool,
basefood,刺身,cool,
basefood,温かいうどん,warm,
basefood,焼き魚,warm,
basefood,煮魚,warm,
basefood,根菜,warm,
basefood,発酵食品,warm,
basefood,スパイスを組みあわせた食事,warm,
basefood,冷たい飲食物,cool,
macaroni,レタス,cool,
macaroni,キャベツ,cool,
macaroni,白菜,cool,
macaroni,ほうれんそう,cool,
macaroni,小松菜,cool,
macaroni,きゅうり,cool,
macaroni,トマト,cool,
macaroni,なす,cool,
macaroni,マンゴー,cool,
macaroni,バナナ,cool,
macaroni,パイナップル,cool,
macaroni,スイカ,cool,
macaroni,メロン,cool,
macaroni,酢,cool,
macaroni,マヨネーズ,cool,
macaroni,ビール,cool,
macaroni,コーヒー,cool,
macaroni,緑茶,cool,
macaroni,にんじん,warm,
macaroni,ごぼう,warm,
macaroni,れんこん,warm,
macaroni,かぼちゃ,warm,
macaroni,ねぎ,warm,
macaroni,たまねぎ,warm,
macaroni,しょうが,warm,
macaroni,りんご,warm,
macaroni,さくらんぼ,warm,
macaroni,ぶどう,warm,
macaroni,プルーン,warm,
macaroni,オレンジ,warm,
macaroni,唐辛子,warm,
macaroni,香辛料,warm,
macaroni,みそ,warm,
macaroni,紅茶,warm,
macaroni,日本酒,warm,
macaroni,こしょう,warm,
macaroni,チョコレート,cool,
macaroni,白砂糖,cool,
macaroni,カカオポリフェノール,warm,
macaroni,スイカ,cool,
macaroni,なす,cool,
macaroni,ゴーヤ,cool,
macaroni,きゅうり,cool,
