source_id,candidate,final_label,reason,food_ja,food_en,direction,quote,rationale,batch
attaka_navi,1. 生姜たっぷりの味噌汁,include,,生姜たっぷりの味噌汁,miso soup with ginger,warm,毎朝の習慣として最も取り入れやすい温活メニューです。,A1: §9.5 が明文で「『体が温まる！おすすめ温活レシピ』predicates it of the recipes as a group」と書いとる。見出しによる群述語は protocol 自身が認めとる。⚠️ claims.csv には料理が,
attaka_navi,2. キムチ鍋,include,,キムチ鍋,kimchi hot pot,warm,温活食材が勢ぞろいする最強の鍋です。,A1: §9.5 が明文で「『体が温まる！おすすめ温活レシピ』predicates it of the recipes as a group」と書いとる。見出しによる群述語は protocol 自身が認めとる。⚠️ claims.csv には料理が,
attaka_navi,3. 鮭と根菜の粕汁,include,,鮭と根菜の粕汁,kasujiru with salmon and root vegetables,warm,北陸や東北で昔から冬の定番とされてきた温活メニューです。,A1: §9.5 が明文で「『体が温まる！おすすめ温活レシピ』predicates it of the recipes as a group」と書いとる。見出しによる群述語は protocol 自身が認めとる。⚠️ claims.csv には料理が,
attaka_navi,4. にんにくたっぷりのアヒージョ,include,,にんにくたっぷりのアヒージョ,garlic ajillo,warm,エビ（温性）やきのこ（平性）を加えた温活アヒージョは、パーティーメニューとしてもおしゃれです。,A1: §9.5 が明文で「『体が温まる！おすすめ温活レシピ』predicates it of the recipes as a group」と書いとる。見出しによる群述語は protocol 自身が認めとる。⚠️ claims.csv には料理が,
attaka_navi,5. 生姜炊き込みご飯,include,,生姜炊き込みご飯,ginger takikomi rice,warm,生姜を加熱することでショウガオールが生まれ、体の芯から温まります。,A1: §9.5 が明文で「『体が温まる！おすすめ温活レシピ』predicates it of the recipes as a group」と書いとる。見出しによる群述語は protocol 自身が認めとる。⚠️ claims.csv には料理が,
attaka_navi,すりおろし生姜,include,,すりおろし生姜,ginger,warm,朝食の味噌汁に、すりおろし生姜をひとかけ加えるだけ。味噌（発酵食品）＋生姜（温性）のダブル効果で、朝から体がぽかぽかに。,A2: 凍結 claims.csv が4形すべての癒着食品を、癒着したままの quote で拾っとる（yomeishu 6/6・kracie 5/5・hiesyo_com 5/5・onkatsu_note の `└小豆` は quote が「└小豆,
attaka_navi,キムチベース,include,,キムチベース,kimchi-based hot pot,warm,味噌ベース、キムチベース、酒粕ベースの鍋は、発酵食品の温め効果がプラスされます。,A2: 凍結 claims.csv が4形すべての癒着食品を、癒着したままの quote で拾っとる（yomeishu 6/6・kracie 5/5・hiesyo_com 5/5・onkatsu_note の `└小豆` は quote が「└小豆,
attaka_navi,ドライフルーツ,include,,ドライフルーツ,dried fruit,warm,ドライフルーツにすると温め寄りに変化します,A6: claims.csv は prezo の ほうじ茶 のみを持ち 番茶 を持たん（quote は「ほうじ茶（番茶）」）＝括弧内は言い換え。程度変化（ドライフルーツ「弱くなる」）は claims に無く、明示的な側の変更（干し柿「変わります」）,
attaka_navi,味噌ベース,include,,味噌ベース,miso-based hot pot,warm,味噌ベース、キムチベース、酒粕ベースの鍋は、発酵食品の温め効果がプラスされます。,A2: 凍結 claims.csv が4形すべての癒着食品を、癒着したままの quote で拾っとる（yomeishu 6/6・kracie 5/5・hiesyo_com 5/5・onkatsu_note の `└小豆` は quote が「└小豆,
attaka_navi,大根おろし,exclude,no-direction,,,,,A11: §9.5 が明文で vehicle を `no-direction` と書いとる（「朝の味噌汁です。温活食材である根菜類やねぎを入れて」→ 帰属は 根菜類/ねぎ）。claims.csv も 大根/納豆 は持つが 大根おろし/納豆ご飯 は持た,
attaka_navi,大根が「涼性」って意外すぎます,include,,大根,daikon radish,cool,大根が「涼性」って意外すぎます！冬の食材なのに…,A2: 凍結 claims.csv が4形すべての癒着食品を、癒着したままの quote で拾っとる（yomeishu 6/6・kracie 5/5・hiesyo_com 5/5・onkatsu_note の `└小豆` は quote が「└小豆,
attaka_navi,大豆→ 平性（温めも冷やしもしない）,include,,大豆,soybean,neutral,"大豆
→ 平性（温めも冷やしもしない）",A2: 凍結 claims.csv が4形すべての癒着食品を、癒着したままの quote で拾っとる（yomeishu 6/6・kracie 5/5・hiesyo_com 5/5・onkatsu_note の `└小豆` は quote が「└小豆,
