food_key,food_ja,scope,n_sources,layer,n_pubmed,n_openalex,n_cinii,pubmed_query,openalex_query,cinii_query,L2_screened
banana,バナナ,core,14,L1,7842,,4052.0,banana[tiab],,バナナ,
banana,バナナ,core,14,L2,47,3346.0,,"banana[tiab] AND (""body temperature""[tiab] OR ""core temperature""[tiab] OR ""skin temperature""[tiab] OR ""tympanic temperature""[tiab] OR ""axillary temperature""[tiab] OR ""rectal temperature""[tiab] OR ""oral temperature""[tiab] OR thermogenesis[tiab] OR ""thermic effect""[tiab] OR ""heat production""[tiab] OR ""energy expenditure""[tiab] OR ""metabolic rate""[tiab] OR ""peripheral circulation""[tiab] OR ""blood flow""[tiab] OR microcirculation[tiab] OR thermoregulation[tiab] OR ""cold tolerance""[tiab] OR ""cold exposure""[tiab] OR ""thermal sensation""[tiab] OR ""thermal comfort""[tiab] OR ""cold sensitivity""[tiab] OR ""cold hypersensitivity""[tiab])","banana AND (""body temperature"" OR ""core temperature"" OR ""skin temperature"" OR ""tympanic temperature"" OR ""axillary temperature"" OR ""rectal temperature"" OR ""oral temperature"" OR thermogenesis OR ""thermic effect"" OR ""heat production"" OR ""energy expenditure"" OR ""metabolic rate"" OR ""peripheral circulation"" OR ""blood flow"" OR microcirculation OR thermoregulation OR ""cold tolerance"" OR ""cold exposure"" OR ""thermal sensation"" OR ""thermal comfort"" OR ""cold sensitivity"" OR ""cold hypersensitivity"")",,2.0
banana,バナナ,core,14,L3,1,,,"banana[tiab] AND (""body temperature""[tiab] OR ""core temperature""[tiab] OR ""skin temperature""[tiab] OR ""tympanic temperature""[tiab] OR ""axillary temperature""[tiab] OR ""rectal temperature""[tiab] OR ""oral temperature""[tiab] OR thermogenesis[tiab] OR ""thermic effect""[tiab] OR ""heat production""[tiab] OR ""energy expenditure""[tiab] OR ""metabolic rate""[tiab] OR ""peripheral circulation""[tiab] OR ""blood flow""[tiab] OR microcirculation[tiab] OR thermoregulation[tiab] OR ""cold tolerance""[tiab] OR ""cold exposure""[tiab] OR ""thermal sensation""[tiab] OR ""thermal comfort""[tiab] OR ""cold sensitivity""[tiab] OR ""cold hypersensitivity""[tiab]) AND ""randomized controlled trial""[pt]",,,
carrot,にんじん,core,14,L1,5702,,4690.0,carrot[tiab],,にんじん,
carrot,にんじん,core,14,L2,12,2391.0,,"carrot[tiab] AND (""body temperature""[tiab] OR ""core temperature""[tiab] OR ""skin temperature""[tiab] OR ""tympanic temperature""[tiab] OR ""axillary temperature""[tiab] OR ""rectal temperature""[tiab] OR ""oral temperature""[tiab] OR thermogenesis[tiab] OR ""thermic effect""[tiab] OR ""heat production""[tiab] OR ""energy expenditure""[tiab] OR ""metabolic rate""[tiab] OR ""peripheral circulation""[tiab] OR ""blood flow""[tiab] OR microcirculation[tiab] OR thermoregulation[tiab] OR ""cold tolerance""[tiab] OR ""cold exposure""[tiab] OR ""thermal sensation""[tiab] OR ""thermal comfort""[tiab] OR ""cold sensitivity""[tiab] OR ""cold hypersensitivity""[tiab])","carrot AND (""body temperature"" OR ""core temperature"" OR ""skin temperature"" OR ""tympanic temperature"" OR ""axillary temperature"" OR ""rectal temperature"" OR ""oral temperature"" OR thermogenesis OR ""thermic effect"" OR ""heat production"" OR ""energy expenditure"" OR ""metabolic rate"" OR ""peripheral circulation"" OR ""blood flow"" OR microcirculation OR thermoregulation OR ""cold tolerance"" OR ""cold exposure"" OR ""thermal sensation"" OR ""thermal comfort"" OR ""cold sensitivity"" OR ""cold hypersensitivity"")",,0.0
carrot,にんじん,core,14,L3,0,,,"carrot[tiab] AND (""body temperature""[tiab] OR ""core temperature""[tiab] OR ""skin temperature""[tiab] OR ""tympanic temperature""[tiab] OR ""axillary temperature""[tiab] OR ""rectal temperature""[tiab] OR ""oral temperature""[tiab] OR thermogenesis[tiab] OR ""thermic effect""[tiab] OR ""heat production""[tiab] OR ""energy expenditure""[tiab] OR ""metabolic rate""[tiab] OR ""peripheral circulation""[tiab] OR ""blood flow""[tiab] OR microcirculation[tiab] OR thermoregulation[tiab] OR ""cold tolerance""[tiab] OR ""cold exposure""[tiab] OR ""thermal sensation""[tiab] OR ""thermal comfort""[tiab] OR ""cold sensitivity""[tiab] OR ""cold hypersensitivity""[tiab]) AND ""randomized controlled trial""[pt]",,,
tomato,トマト,core,13,L1,38050,,26813.0,tomato[tiab],,トマト,
tomato,トマト,core,13,L2,200,5125.0,,"tomato[tiab] AND (""body temperature""[tiab] OR ""core temperature""[tiab] OR ""skin temperature""[tiab] OR ""tympanic temperature""[tiab] OR ""axillary temperature""[tiab] OR ""rectal temperature""[tiab] OR ""oral temperature""[tiab] OR thermogenesis[tiab] OR ""thermic effect""[tiab] OR ""heat production""[tiab] OR ""energy expenditure""[tiab] OR ""metabolic rate""[tiab] OR ""peripheral circulation""[tiab] OR ""blood flow""[tiab] OR microcirculation[tiab] OR thermoregulation[tiab] OR ""cold tolerance""[tiab] OR ""cold exposure""[tiab] OR ""thermal sensation""[tiab] OR ""thermal comfort""[tiab] OR ""cold sensitivity""[tiab] OR ""cold hypersensitivity""[tiab])","tomato AND (""body temperature"" OR ""core temperature"" OR ""skin temperature"" OR ""tympanic temperature"" OR ""axillary temperature"" OR ""rectal temperature"" OR ""oral temperature"" OR thermogenesis OR ""thermic effect"" OR ""heat production"" OR ""energy expenditure"" OR ""metabolic rate"" OR ""peripheral circulation"" OR ""blood flow"" OR microcirculation OR thermoregulation OR ""cold tolerance"" OR ""cold exposure"" OR ""thermal sensation"" OR ""thermal comfort"" OR ""cold sensitivity"" OR ""cold hypersensitivity"")",,1.0
tomato,トマト,core,13,L3,1,,,"tomato[tiab] AND (""body temperature""[tiab] OR ""core temperature""[tiab] OR ""skin temperature""[tiab] OR ""tympanic temperature""[tiab] OR ""axillary temperature""[tiab] OR ""rectal temperature""[tiab] OR ""oral temperature""[tiab] OR thermogenesis[tiab] OR ""thermic effect""[tiab] OR ""heat production""[tiab] OR ""energy expenditure""[tiab] OR ""metabolic rate""[tiab] OR ""peripheral circulation""[tiab] OR ""blood flow""[tiab] OR microcirculation[tiab] OR thermoregulation[tiab] OR ""cold tolerance""[tiab] OR ""cold exposure""[tiab] OR ""thermal sensation""[tiab] OR ""thermal comfort""[tiab] OR ""cold sensitivity""[tiab] OR ""cold hypersensitivity""[tiab]) AND ""randomized controlled trial""[pt]",,,
cucumber,きゅうり,core,12,L1,12174,,19216.0,cucumber[tiab],,きゅうり,
