pmid,food_key,coder1,coder2,adjudicated,final_label,reason,sublabels
10653500,chicken,exclude,exclude,False,exclude,animal,
11104709,chicken,exclude,exclude,False,exclude,animal,
11128383,chicken,exclude,exclude,False,exclude,animal,
11171038,chicken,exclude,exclude,False,exclude,animal,
11372701,chicken,exclude,exclude,False,exclude,livestock-heat,
1140291,chicken,exclude,exclude,False,exclude,animal,
1141136,chicken,exclude,exclude,False,exclude,animal,
1153385,chicken,exclude,exclude,False,exclude,animal,
11557098,chicken,exclude,exclude,False,exclude,animal,
11790407,chicken,exclude,exclude,False,exclude,animal,
11897185,chicken,exclude,exclude,False,exclude,livestock-heat,
11923082,chicken,exclude,exclude,False,exclude,name-only,
11989759,chicken,exclude,exclude,False,exclude,animal,
1200845,chicken,exclude,exclude,False,exclude,animal,
12046651,chicken,exclude,exclude,False,exclude,animal,
12054258,chicken,exclude,exclude,False,exclude,animal,
12208305,chicken,exclude,exclude,False,exclude,animal,
12372620,chicken,exclude,exclude,False,exclude,animal,
1247191,chicken,exclude,exclude,False,exclude,animal,
12475757,chicken,exclude,exclude,False,exclude,animal,
1275070,chicken,exclude,exclude,False,exclude,animal,
13361886,chicken,exclude,exclude,False,exclude,animal,
14251943,chicken,exclude,exclude,False,exclude,animal,
14561841,chicken,exclude,exclude,False,exclude,animal,
14653463,chicken,exclude,exclude,False,exclude,livestock-heat,
15141834,chicken,exclude,exclude,False,exclude,livestock-heat,
15471958,chicken,exclude,exclude,False,exclude,animal,
15556382,chicken,exclude,exclude,False,exclude,animal,
1558893,chicken,exclude,exclude,False,exclude,animal,
15620684,chicken,exclude,exclude,False,exclude,animal,
15927767,chicken,exclude,exclude,False,exclude,animal,
15941487,chicken,exclude,exclude,False,exclude,animal,
1614955,chicken,exclude,exclude,False,exclude,invitro,
16156199,chicken,exclude,exclude,False,exclude,livestock-heat,
16553262,chicken,exclude,exclude,False,exclude,animal,
16615357,chicken,exclude,exclude,False,exclude,livestock-heat,
16787856,chicken,exclude,exclude,False,exclude,livestock-heat,
16892153,chicken,exclude,exclude,False,exclude,animal,
16973393,chicken,exclude,exclude,False,exclude,animal,
16977857,chicken,exclude,exclude,False,exclude,invitro,
17083703,chicken,exclude,exclude,False,exclude,animal,
17327590,chicken,exclude,exclude,False,exclude,animal,
17347410,chicken,exclude,exclude,False,exclude,animal,
17349020,chicken,exclude,exclude,False,exclude,invitro,
17623916,chicken,exclude,exclude,False,exclude,animal,
17674077,chicken,exclude,exclude,False,exclude,animal,
17686884,chicken,exclude,exclude,False,exclude,animal,
17761445,chicken,exclude,exclude,False,exclude,animal,
18241230,chicken,exclude,exclude,False,exclude,animal,
18426587,chicken,exclude,exclude,False,exclude,animal,
18427762,chicken,exclude,exclude,False,exclude,animal,
18472312,chicken,exclude,exclude,False,exclude,animal,
18842136,chicken,exclude,exclude,False,exclude,animal,
18861341,chicken,exclude,exclude,False,exclude,animal,
18881492,chicken,exclude,exclude,False,exclude,animal,
18901892,chicken,exclude,exclude,False,exclude,animal,
18997372,chicken,exclude,exclude,False,exclude,name-only,
19038804,chicken,exclude,exclude,False,exclude,animal,
19457987,chicken,exclude,exclude,False,exclude,animal,
19531576,chicken,exclude,exclude,False,exclude,animal,
19782502,chicken,exclude,exclude,False,exclude,animal,
19836298,chicken,exclude,exclude,False,exclude,name-only,
20184729,chicken,exclude,exclude,False,exclude,animal,
20252827,chicken,exclude,exclude,False,exclude,animal,
20342896,chicken,exclude,exclude,False,exclude,animal,
21036929,chicken,exclude,exclude,False,exclude,animal,
21066167,chicken,exclude,exclude,False,exclude,animal,
21313847,chicken,exclude,exclude,False,exclude,animal,
21319889,chicken,exclude,exclude,False,exclude,animal,
21508290,chicken,exclude,exclude,False,exclude,animal,
21530689,chicken,exclude,exclude,False,exclude,animal,
21669806,chicken,exclude,exclude,False,exclude,animal,
21673158,chicken,exclude,exclude,False,exclude,livestock-heat,
21855390,chicken,exclude,exclude,False,exclude,name-only,
22032519,chicken,exclude,exclude,False,exclude,name-only,
