food_key,pmid,gold_label,gold_reason,title
ginger,42308737,exclude,"animal: broiler chickens, cloacal temp",Combined use of red ginger extract and a cooling perch improves thermoregulation and performance of broilers in tropical semi-open housing.
ginger,42271377,exclude,"species-mismatch: grains of paradise (Aframomum), human but not Z.officinale","Effects of L-BAIBA supplementation with and without grains of paradise on changes in resting metabolic rate, body composition, and cardiometabolic risk factors."
ginger,41007640,exclude,animal: HFD mice,Comparison of Anti-Obesity Effects of Ginger Extract Alone and Mixed with Long Pepper Extract.
ginger,40577283,exclude,invitro: adipocytes in vitro,"A mixture of ginger phenolic compounds enhances mitochondrial function, activates AMPK, and reduces lipid accumulation in adipocytes."
ginger,40313435,exclude,"species-mismatch: Kaempferia parviflora (black ginger), human RCT","The Acute Metabolic Impacts of Kampferia parviflora Extract in Healthy Men: A Randomized, Double-Blind, Proof-of-Concept Study."
ginger,40092148,exclude,"name-only: broad cold-weather military nutrition review, ginger not the subject",Exploring the role of nutritional strategies to influence physiological and cognitive mechanisms in cold weather operations in military personnel.
ginger,39366495,exclude,"animal: rats, TCM network pharmacology",Integrating network pharmacology and transcriptomics to study the potential mechanism of Jingzhi Niuhuang Jiedu tablet in rats with accumulation of heat in the lungs and stomach.
ginger,39259072,exclude,"no-thermal: ginger RCT in COVID-19, outcome viral clearance",The efficacy and safety of ginger (Zingiber officinale) rhizome extract in outpatients with COVID-19: A randomized double-blind placebo-control clinical trial.
ginger,39023772,exclude,animal: HFD mice (black ginger),Black Ginger Extract Suppresses Fat Accumulation by Regulating Lipid Metabolism in High-Fat Diet-Fed Mice.
ginger,36424723,exclude,"animal: obese mice, zingerone",Modulation of PPARα-thermogenesis gut microbiota interactions in obese mice administrated with zingerone.
ginger,36058007,include,"human RCT: dry ginger extract, resting energy expenditure in female adults (Z.officinale)",Ginger supplementation does not increase energy expenditure in female adults.
ginger,34814768,exclude,"not-ingestion: ginger footbath, not oral intake",Increasing Warmth in Oncological Patients: A Randomized Controlled Cross-Over Pilot Trial Examining the Efficacy of Mustard and Ginger Footbaths.
ginger,34192599,exclude,"invitro/animal: BAT herb-pair network pharmacology, no human ingestion",Study on the experimental verification and regulatory mechanism of Rougui-Ganjiang herb-pair for the actions of thermogenesis in brown adipose tissue based on network pharmacology.
ginger,33952741,exclude,species-mismatch: grains of paradise (Aframomum) humans BAT,Prolonged Treatment with Grains of Paradise (Aframomum melegueta) Extract Recruits Adaptive Thermogenesis and Reduces Body Fat in Humans with Low Brown Fat Activity.
ginger,33789250,include,"review-subject: red pepper/ginger/turmeric on energy metabolism, human evidence","Effects of Red Pepper, Ginger, and Turmeric on Energy Metabolism: Review of Current Knowledge."
ginger,31586693,exclude,animal: mice BAT/WAT browning,Jiang Gui Fang activated interscapular brown adipose tissue and induced epididymal white adipose tissue browning through the PPARγ/SIRT1-PGC1α pathway.
ginger,31505825,exclude,name-only: broad functional-foods weight-management review,Functional Foods and Bioactive Compounds: A Review of Its Possible Role on Weight Management and Obesity's Metabolic Consequences.
ginger,31369153,exclude,"animal: mice, GE promoted O2 consumption + intrascapular temp","Promotion of Mitochondrial Biogenesis via Activation of AMPK-PGC1ɑ Signaling Pathway by Ginger (Zingiber officinale Roscoe) Extract, and Its Major Active Component 6-Gingerol."
ginger,30477855,exclude,"not-ingestion: ginger footbath, healthy subjects skin temp","Effects of Footbaths with Mustard, Ginger, or Warm Water Only on Objective and Subjective Warmth Distribution in Healthy Subjects: A Randomized Controlled Trial."
ginger,30402121,include,"human: ginger beverage, palm skin temperature in cold-sensitive women (Z.officinale)",Hyperthermic Effect of Ginger (Zingiber officinale) Extract-Containing Beverage on Peripheral Skin Surface Temperature in Women.
ginger,30168574,exclude,name-only: broad anti-obesity spice mechanism review (cell/animal/human),Molecular mechanisms of the anti-obesity effect of bioactive ingredients in common spices: a review.
ginger,29259648,include,"human: dried ginger rhizome oral, rectal/skin temp at acupuncture points (Z.officinale)","The Effects of Natural Chinese Medicine Aconite Root, Dried Ginger Rhizome, and Coptis on Rectal and Skin Temperatures at Acupuncture Points."
ginger,29193411,exclude,"name-only: ginger anti-obesity/weight systematic review, objective is weight not thermal",A systematic review of the anti-obesity and weight lowering effect of ginger (Zingiber officinale Roscoe) and its mechanisms of action.
ginger,28154330,exclude,"name-only: Ephedra analgesic paper, ginger only a TCM comparator",[Analgesic Effects and Side Effects of Ephedra Herb Extract and Ephedrine Alkaloids-free Ephedra Herb Extract].
ginger,27831646,exclude,"animal: rabbits, HSP model, ginger in decoction",Mechanism of feedback regulation of neutrophil inflammation in Henoch-Schönlein purpura.
ginger,25875447,include,"human: dried ginger root powder oral, thermoregulatory function/fat oxidation (Z.officinale)","Oral intake of encapsulated dried ginger root powder hardly affects human thermoregulatory function, but appears to facilitate fat utilization."
