food_key,food_ja,l2_raw,n_openalex,l2_screened,l1,direction,n_sources,scope,x,y,is_zero
banana,バナナ,5,3346.0,1.0,7842,cool,9,core,9,0.3010299956639812,False
carrot,にんじん,0,2391.0,0.0,5702,warm,8,core,8,0.0,True
tomato,トマト,6,5125.0,0.0,38050,cool,8,core,8,0.0,True
cucumber,きゅうり,4,1938.0,0.0,12174,cool,8,core,8,0.0,True
pumpkin,かぼちゃ,2,921.0,0.0,2631,warm,8,core,8,0.0,True
ginger,しょうが,35,3172.0,7.0,5730,warm,8,core,8,0.9030899869919435,False
miso,味噌,4,407.0,0.0,1158,warm,7,core,7,0.0,True
burdock,ごぼう,0,241.0,0.0,323,warm,7,core,7,0.0,True
eggplant,なす,0,420.0,0.0,2072,cool,7,core,7,0.0,True
mango,マンゴー,5,1705.0,0.0,3627,cool,7,core,7,0.0,True
apple,りんご,17,10535.0,0.0,23770,warm,7,core,7,0.0,True
chicken,鶏肉,278,26267.0,0.0,94310,warm,6,core,6,0.0,True
watermelon,スイカ,4,716.0,0.0,3146,cool,6,core,6,0.0,True
green onion,ねぎ,0,142.0,0.0,401,warm,6,core,6,0.0,True
pineapple,パイナップル,2,841.0,0.0,2494,cool,6,core,6,0.0,True
grape,ぶどう,14,5207.0,0.0,17722,warm,6,core,6,0.0,True
melon,メロン,5,1307.0,0.0,3898,cool,6,core,6,0.0,True
chili pepper,唐辛子,30,1748.0,12.0,1943,warm,6,core,6,1.1139433523068367,False
white sugar,白砂糖,195,27093.0,17.0,85454,cool,6,core,6,1.255272505103306,False
lotus root,れんこん,0,66.0,0.0,270,warm,5,core,5,0.0,True
natto,納豆,1,499.0,0.0,1685,warm,5,core,5,0.0,True
tofu,豆腐,2,545.0,0.0,1188,cool,5,core,5,0.0,True
pork,豚肉,34,4720.0,1.0,15733,warm,5,core,5,0.3010299956639812,False
black tea,紅茶,9,1948.0,2.0,7286,warm,5,core,5,0.47712125471966244,False
white rice,白米,1,392.0,0.0,1514,cool,4,core,4,0.0,True
daikon,大根,0,69.0,0.0,245,contested,4,core,4,0.0,True
brown rice,玄米,0,478.0,0.0,2040,warm,4,core,4,0.0,True
kimchi,キムチ,2,725.0,0.0,1180,warm,4,core,4,0.0,True
onion,たまねぎ,2,2900.0,0.0,7727,warm,4,core,4,0.0,True
cherry,さくらんぼ,1,6558.0,0.0,7209,warm,4,core,4,0.0,True
lettuce,レタス,3,1446.0,0.0,8839,cool,4,core,4,0.0,True
tuna,マグロ,28,3101.0,0.0,3715,warm,4,core,4,0.0,True
garlic,にんにく,15,3015.0,1.0,8789,warm,4,core,4,0.3010299956639812,False
cinnamon,シナモン,15,2105.0,1.0,4123,warm,4,core,4,0.3010299956639812,False
beef,牛肉,119,12550.0,2.0,36245,warm,4,core,4,0.47712125471966244,False
egg,卵,246,40821.0,2.0,104764,warm,4,core,4,0.47712125471966244,False
coffee,コーヒー,24,9780.0,7.0,23286,cool,4,core,4,0.9030899869919435,False
green tea,緑茶,62,4652.0,17.0,15476,cool,4,core,4,1.255272505103306,False
sweet potato,さつまいも,1,1142.0,0.0,3941,warm,3,core,3,0.0,True
hojicha,ほうじ茶,0,9.0,0.0,29,warm,3,core,3,0.0,True
chinese cabbage,白菜,2,165.0,0.0,2115,cool,3,core,3,0.0,True
sake,日本酒,7,7559.0,0.0,5244,warm,3,core,3,0.0,True
soy sauce,醤油,0,247.0,0.0,1264,warm,3,core,3,0.0,True
spinach,ほうれん草,3,1541.0,0.0,9863,cool,3,core,3,0.0,True
vinegar,酢,5,1432.0,0.0,3419,cool,3,core,3,0.0,True
prune,プルーン,1,1695.0,0.0,1957,warm,3,core,3,0.0,True
buckwheat,そば,1,613.0,0.0,2799,warm,3,core,3,0.0,True
cocoa,ココア,16,2346.0,0.0,4859,warm,3,core,3,0.0,True
kiwi,キウイ,2,760.0,0.0,1195,cool,3,core,3,0.0,True
salmon,鮭,34,11618.0,1.0,20092,warm,3,core,3,0.3010299956639812,False
milk,牛乳,586,46955.0,6.0,171272,cool,3,core,3,0.8450980400142568,False
lamb,羊肉,107,16083.0,0.0,13804,warm,2,sensitivity,2,0.0,True
nira,にら,0,116.0,0.0,375,warm,2,sensitivity,2,0.0,True
sansho,山椒,0,29.0,0.0,40,warm,2,sensitivity,2,0.0,True
wakame,わかめ,4,763.0,0.0,1806,cool,2,sensitivity,2,0.0,True
beer,ビール,10,10261.0,0.0,11785,cool,2,sensitivity,2,0.0,True
brown sugar,黒砂糖,1,161.0,0.0,215,warm,2,sensitivity,2,0.0,True
cabbage,キャベツ,30,2145.0,0.0,8054,cool,2,sensitivity,2,0.0,True
horse mackerel,あじ,0,111.0,0.0,224,warm,2,sensitivity,2,0.0,True
peach,桃,4,2029.0,0.0,6043,warm,2,sensitivity,2,0.0,True
